"choice_name","skill_name","monster_name","choice_group","sort_order","title","description_text"
"name","string","string","enum:SkillChoiceGroup","int","string","string"
"ariel-b-trait-1","ariel-b","ariel","ActiveEnhancement","0","특성 1","방어막량 +30%"
"ariel-b-trait-2","ariel-b","ariel","ActiveEnhancement","1","특성 2","지속시간 +2초"
"ariel-b-trait-3","ariel-b","ariel","ActiveEnhancement","2","특성 3","쿨타임 -20%"
"ariel-b-trait-4","ariel-b","ariel","ActiveEnhancement","3","특성 4","방어막이 사라질 때 주변 적에게 방어막량의 60% 신성 피해"
"ariel-b-trait-5","ariel-b","ariel","ActiveEnhancement","4","특성 5","방어막을 받은 아군의 신성 피해 +12%, 5초"
"ariel-b-master-1","ariel-b","ariel","ActiveMaster","0","순백의 장벽","방어막량 +50%, 방어막이 유지되는 동안 상태이상 저항 +30%"
"ariel-b-master-2","ariel-b","ariel","ActiveMaster","1","반사의 성광","방어막이 피해를 흡수할 때 공격자에게 흡수량의 35% 신성 피해"
"rin-b-trait-1","rin-b","rin","ActiveEnhancement","0","특성 1","지속시간 +25%"
"rin-b-trait-2","rin-b","rin","ActiveEnhancement","1","특성 2","행동속도 증가 +10%"
"rin-b-trait-3","rin-b","rin","ActiveEnhancement","2","특성 3","쿨다운 -20%"
"rin-b-trait-4","rin-b","rin","ActiveEnhancement","3","특성 4","린의 공격력 +15% 추가 증가"
"rin-b-trait-5","rin-b","rin","ActiveEnhancement","4","특성 5","하울링 중 아군 치명타 확률 +8%"
"rin-b-master-1","rin-b","rin","ActiveMaster","0","전장의 포효","행동속도 증가 +15%, 지속시간 +20%, 아군 전체 물리 피해 +18% 추가"
"rin-b-master-2","rin-b","rin","ActiveMaster","1","심연 군가","행동속도 증가량 -5%, 아군 전체 물리 피해에 25% 어둠 추가 피해"
"vega-c-trait-1","vega-c","vega","ActiveEnhancement","0","특성 1","지속시간 +2초"
"vega-c-trait-2","vega-c","vega","ActiveEnhancement","1","특성 2","행동속도 증가량 +10%"
"vega-c-trait-3","vega-c","vega","ActiveEnhancement","2","특성 3","공격력 증가량 +10%"
"vega-c-trait-4","vega-c","vega","ActiveEnhancement","3","특성 4","몰살 허가 중 삼검난무 재장전 속도 +30%"
"vega-c-trait-5","vega-c","vega","ActiveEnhancement","4","특성 5","몰살 허가 중 이름표식이 있는 적에게 베가가 주는 피해 +15%"
"vega-c-master-1","vega-c","vega","ActiveMaster","0","처형 영장","지속시간 +2초, 몰살 허가 중 삼검난무가 이름표식 1스택 추가 부여"
"vega-c-master-2","vega-c","vega","ActiveMaster","1","살육 절차","행동속도 증가량 +25%, 공격력 증가량 +25%, 지속시간 -2초"
