"node_id","monster_id","param_key","value_type","value"
"string","string","string","enum","string"
"ariel-c-trait-4-radius-multiplier","ariel","multiplier","float","1.25"
"ariel-c-trait-1-damage-multiplier","ariel","multiplier","float","1.25"
"ariel-c-trait-3-duration-bonus","ariel","status_id","status_id","blessing"
"ariel-c-trait-3-duration-bonus","ariel","bonus_seconds","float","2"
"ariel-d-trait-1-damage-multiplier","ariel","multiplier","float","1.3"
"ariel-d-trait-2-status-element-damage-taken","ariel","bonus","float","0.08"
"ariel-d-trait-3-duration-bonus","ariel","bonus_seconds","float","3"
"ariel-d-trait-4-damage-multiplier","ariel","multiplier","float","0.8"
"ariel-d-trait-5-shield-source-damage-taken","ariel","source_status_id","status_id","shield"
"ariel-d-trait-5-shield-source-damage-taken","ariel","bonus","float","0.1"
"ariel-e-trait-1-damage-multiplier","ariel","multiplier","float","1.3"
"ariel-e-trait-3-cooldown-multiplier","ariel","multiplier","float","0.8"
"ariel-e-trait-5-duration-bonus","ariel","bonus_seconds","float","3"
"ariel-e-master-2-damage-multiplier","ariel","multiplier","float","1.7"
"ariel-c-trait-2-blessing-action-speed","ariel","status_id","status_id","blessing"
"ariel-c-trait-2-blessing-action-speed","ariel","bonus","float","0.06"
"ariel-e-trait-2-shield-amount-multiplier","ariel","multiplier","Float","1.3"
"ariel-e-master-2-shield-amount-multiplier","ariel","multiplier","Float","0.7"
"ariel-d-trait-4-hit-target-count-bonus","ariel","bonus","int","1"
"ariel-d-master-1-status-critical-damage-taken","ariel","bonus","float","0.25"
"ariel-c-blessing-action-default-apply-status","ariel","status_id","status_id","blessing"
"ariel-c-blessing-action-default-effect-target","ariel","target_side","enum","AllAllies"
"ariel-c-blessing-action-default-effect-target","ariel","target_selection","enum","Owner"
"ariel-c-blessing-action-default-effect-target","ariel","target_shape","enum","Battlefield"
"ariel-c-blessing-action-default-effect-target","ariel","visual_anchor_mode","enum","AppliedTargets"
"ariel-c-blessing-action-default-effect-visual","ariel","skill_effect_prefab_path","asset_path","Assets/Prefab/Skill/Ariel/Ariel_C-Buff.prefab"
"ariel-c-blessing-action-default-effect-lifetime","ariel","duration_seconds","float","4"
"ariel-c-blessing-action-default-status-action-speed-bonus","ariel","bonus","float","0.12"
"ariel-c-shielded-holy-trait5-apply-status","ariel","status_id","status_id","blessing"
"ariel-c-shielded-holy-trait5-effect-target","ariel","target_side","enum","AllAllies"
"ariel-c-shielded-holy-trait5-effect-target","ariel","target_selection","enum","Owner"
"ariel-c-shielded-holy-trait5-effect-target","ariel","target_shape","enum","Battlefield"
"ariel-c-shielded-holy-trait5-effect-target","ariel","visual_anchor_mode","enum","AppliedTargets"
"ariel-c-shielded-holy-trait5-condition-status","ariel","status_id","status_id","shield"
"ariel-c-shielded-holy-trait5-condition-status","ariel","target_side","enum","AllAllies"
