"node_id","monster_id","owner_kind","owner_id","target_skill_id","node_kind","handler_id","sort_order","enabled_by_default","requires_active_choice_id","excludes_active_choice_id","requires_passive_skill_id","excludes_passive_skill_id","runtime_support_state","runtime_support_notes"
"string","string","enum","string","string","enum","string","int","bool","choice_id","choice_id","skill_id","skill_id","string","string"
"ariel-c-trait-4-radius-multiplier","ariel","Choice","ariel-c-trait-4","ariel-c","Action","RadiusMultiplier","200","","","","","","",""
"ariel-c-trait-1-damage-multiplier","ariel","Choice","ariel-c-trait-1","","DamageModifier","DamageMultiplier","200","","","","","","",""
"ariel-c-trait-3-duration-bonus","ariel","Choice","ariel-c-trait-3","","Action","StatusDurationBonus","200","","","","","","",""
"ariel-d-trait-1-damage-multiplier","ariel","Choice","ariel-d-trait-1","","DamageModifier","DamageMultiplier","200","","","","","","",""
"ariel-d-trait-2-status-element-damage-taken","ariel","Choice","ariel-d-trait-2","","Action","StatusElementDamageTakenBonus","200","","","","","","",""
"ariel-d-trait-3-duration-bonus","ariel","Choice","ariel-d-trait-3","","Action","DurationBonus","200","","","","","","",""
"ariel-d-trait-4-damage-multiplier","ariel","Choice","ariel-d-trait-4","","DamageModifier","DamageMultiplier","200","","","","","","",""
"ariel-d-trait-5-shield-source-damage-taken","ariel","Choice","ariel-d-trait-5","","Action","StatusConditionalDamageTakenBonus","200","","","","","","",""
"ariel-e-trait-1-damage-multiplier","ariel","Choice","ariel-e-trait-1","","DamageModifier","DamageMultiplier","200","","","","","","",""
"ariel-e-trait-3-cooldown-multiplier","ariel","Choice","ariel-e-trait-3","","Action","CooldownMultiplier","200","","","","","","",""
"ariel-e-trait-5-duration-bonus","ariel","Choice","ariel-e-trait-5","","Action","DurationBonus","200","","","","","","",""
"ariel-e-master-2-damage-multiplier","ariel","Choice","ariel-e-master-2","","DamageModifier","DamageMultiplier","200","","","","","","",""
"ariel-c-trait-2-blessing-action-speed","ariel","Choice","ariel-c-trait-2","","Action","StatusActionSpeedBonus","200","","","","","","",""
"ariel-e-trait-2-shield-amount-multiplier","ariel","Choice","ariel-e-trait-2","ariel-e","Action","ShieldAmountMultiplier","22","","","","","","",""
"ariel-e-master-2-shield-amount-multiplier","ariel","Choice","ariel-e-master-2","ariel-e","Action","ShieldAmountMultiplier","82","","","","","","",""
"ariel-d-trait-4-hit-target-count-bonus","ariel","Choice","ariel-d-trait-4","ariel-d","Action","HitTargetCountBonus","205","","","","","","",""
"ariel-d-master-1-status-critical-damage-taken","ariel","Choice","ariel-d-master-1","ariel-d","Action","StatusCriticalDamageTakenBonus","205","","","","","","",""
"ariel-c-blessing-action-default-apply-status","ariel","Effect","ariel-c-blessing-action-default","ariel-c","Action","ApplyStatus","10","","","ariel-c-master-1","","","RuntimeImplemented",""
"ariel-c-blessing-action-default-effect-target","ariel","Effect","ariel-c-blessing-action-default","ariel-c","Action","EffectTarget","11","","","","","","",""
"ariel-c-blessing-action-default-effect-visual","ariel","Effect","ariel-c-blessing-action-default","ariel-c","Action","EffectVisual","12","","","","","","",""
"ariel-c-blessing-action-default-effect-lifetime","ariel","Effect","ariel-c-blessing-action-default","ariel-c","Action","EffectLifetime","14","","","","","","",""
