"monster_id","owner_kind","owner_id","graph_kind","graph_index","target_skill_id","node_order","node_type_id","arg_1","arg_2","arg_3","arg_4","arg_5","arg_6","arg_7","arg_8","arg_9","arg_10","arg_11","arg_12","excludes_active_choice_id"
"string","enum","string","enum","int","skill_id","int","string","string","string","string","string","string","string","string","string","string","string","string","string","choice_id"
"eve","Choice","eve-c-trait-1","Plan","0","eve-c","1","RadiusMultiplier","1.25","","","","","","","","","","","",""
"eve","Choice","eve-c-trait-1","Plan","0","eve-c","2","DurationMultiplier","1.15","","","","","","","","","","","",""
"eve","Choice","eve-c-trait-2","Plan","0","eve-c","1","ShotIntervalMultiplier","0.8","","","","","","","","","","","",""
"eve","Choice","eve-c-trait-2","Plan","0","eve-c","2","StatusStackAmountBonus","chill","1","","","","","","","","","","",""
"eve","Choice","eve-c-trait-3","Plan","0","eve-c","1","DamageMultiplier","1.3","","","","","","","","","","","",""
"eve","Choice","eve-c-trait-3","Plan","0","eve-c","2","CooldownMultiplier","0.85","","","","","","","","","","","",""
"eve","Choice","eve-c-trait-4","Plan","0","eve-c","1","DamageMultiplier","1.8","","","","","","","","","","","",""
"eve","Choice","eve-c-trait-4","Plan","0","eve-c","2","RadiusMultiplier","0.8","","","","","","","","","","","",""
"eve","Choice","eve-c-trait-5","Plan","0","eve-c","1","DamageMultiplier","1.2","","","","","","","","","","","",""
"eve","Choice","eve-c-trait-5","Plan","0","eve-c","2","StatusDurationBonus","freeze","1","","","","","","","","","","",""
"eve","Choice","eve-c-master-1","Effect","0","eve-c","1","ApplyStatus","freeze","","","","","","","","","","","",""
"eve","Choice","eve-c-master-1","Effect","0","eve-c","2","ConditionStatus","chill","Enemy","","4","","","","","","","","",""
"eve","Choice","eve-c-master-1","Effect","0","eve-c","3","EffectTarget","","EventTarget","","EffectTarget","AppliedTargets","OnHit","","","","","","",""
"eve","Choice","eve-c-master-1","Effect","0","eve-c","4","EffectLifetime","1.5","","","","","","","","","","","",""
"eve","Choice","eve-c-master-2","Effect","0","eve-c","1","EffectDamage","Ice","24","1.5","1","3.2","","","","","","","",""
"eve","Choice","eve-c-master-2","Effect","0","eve-c","2","EffectTarget","Enemy","","Circle","PrimarySkillCenter","Center","OnExpire","","true","","","","",""
"eve","Choice","eve-c-master-2","Effect","0","eve-c","3","RuntimeEffectVisual","Assets/Image/Monster/Eve/SkillEffect/Effect_Sprite/1.png","Assets/Image/Monster/Eve/SkillEffect/Effect_Sprite/ChatGPT Image 2026년 5월 23일 오전 12_11_01-Photoroom 1_0.controller","0.435692","0","6.52","6.11","","","","","","",""
"eve","Choice","eve-e-trait-1","Plan","0","eve-e","1","RadiusMultiplier","1.25","","","","","","","","","","","",""
"eve","Choice","eve-e-trait-1","Plan","0","eve-e","2","DurationMultiplier","1.2","","","","","","","","","","","",""
"eve","Choice","eve-e-trait-2","Plan","0","eve-e","1","ShotIntervalMultiplier","0.8","","","","","","","","","","","",""
"eve","Choice","eve-e-trait-2","Plan","0","eve-e","2","StatusStackAmountBonus","vulnerable","1","","","","","","","","","","",""
